id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,lum,var,var_min,var_max
72144,72370,129078,5470,,Alp Aps,,14.797701,-79.044751,136.9863,-5.67,-15.75,-1,3.83,-1.853,1.433,-19.356924,-17.40793,-134.489842,0.00000526,0.0000098,-0.00000098,3.87402900347181,-1.37959115413385,-0.0000000274889357,-0.000000076358154,479.954424931944,,,
72345,72571,130694,5526,,58    Hya,,14.838147,-27.960371,101.5228,-237.37,-62.37,-10,4.42,-0.613,1.366,-66.036951,-60.664821,-47.600014,-0.00006178,0.00010188,-0.00002232,3.88461772448046,-0.488000529810055,-0.0000011508022335,-0.000000302378292,153.179271589342,,,
72380,72607,131873,5563,,7Bet UMi,Kochab,14.845105,74.155505,40.1445,-32.29,11.91,17,2.07,-0.948,1.465,-8.058164,-7.429707,38.619407,-0.00000611,0.00000291,0.00001736,3.88643929021955,1.29425771723645,-0.0000001565463375,0.000000057741309,208.545104769317,,,
72396,72622,130841,5531,Gl 564.1,9Alp2Lib,Zubenelgenubi,14.847977,-16.041778,23.2396,-105.69,-69,-46.7,2.75,0.919,0.147,-16.408581,-15.151818,-6.421874,0.00002722,0.00004135,0.00000573,3.88719116950368,-0.279981846062591,-0.000000512399579,-0.000000334521439,37.35940922588,,,
72404,72631,130952,5535,,11    Lib,,14.850298,-2.29915,67.0241,87.63,-123.64,83,4.93,0.799,0.988,-49.174688,-45.463719,-2.688834,-0.00004177,-0.00007739,-0.00004354,3.8877988043695,-0.0401277449567975,0.0000004248422283,-0.000000599423634,41.7253511231794,,,
72432,72659,131156,5544,Gl 566A,37Xi  Boo,,14.856493,19.10046,6.7123,152.81,-71.28,2.2,4.54,5.406,0.72,-4.650321,-4.313397,2.196442,0.00000127,-0.00000561,-0.00000146,3.88942066038312,0.333365915217079,0.0000007408437853,-0.000000345575191,0.599238902583478,Xi,4.57,4.52
72456,72683,130807,5528,,Omi Lup,,14.860641,-43.575359,123.9157,-24.79,-26.8,7,4.32,-1.146,-0.154,-65.752375,-61.121404,-85.416131,-0.00000581,0.00001493,-0.0000166,3.89050680137853,-0.760533484888078,-0.0000001201853114,-0.000000129930066,250.264932573108,,,
72938,73165,132052,5570,GJ 9503,16    Lib,,14.953055,-4.346462,26.9034,-97.83,-154.56,21.7,4.47,2.321,0.318,-19.200694,-18.734445,-2.038952,-0.00002366,-0.00000526,-0.00002178,3.91470076493429,-0.07586007262021,-0.0000004742932237,-0.000000749328024,10.2706989602628,,,
72972,73199,132813,5589,,,,14.959743,65.93246,140.8451,-78.26,32.48,7,4.63,-1.114,1.59,-41.041157,-40.184665,128.600839,-0.000025,0.0000503,0.00001558,3.91645145711712,1.15073851284048,-0.0000003794151864,0.000000157467483,242.996489770323,RR,4.75,4.49
73046,73273,132058,5571,,Bet Lup,,14.975537,-43.13396,117.3709,-34.06,-38.3,-0.8,2.68,-2.668,-0.184,-60.951955,-60.176134,-80.247234,-0.00000259,0.00002468,-0.00001534,3.92058648413403,-0.752829621731841,-0.0000001651275396,-0.000000185683639,1016.71680046638,,,
